16,40,0,log,15
16,40,0,n,15
16,40,1,log,15
16,40,1,n,15
16,40,2,log,15
16,40,2,n,15
16,40,3,log,15
16,40,3,n,15
16,64,0,log,15
16,64,0,n,15
16,64,1,log,15
16,64,1,n,15
16,64,2,log,15
16,64,2,n,15
16,64,3,log,15
16,64,3,n,15
16,128,0,log,15
16,128,0,n,15
16,128,1,log,15
16,128,1,n,15
16,128,2,log,15
16,128,2,n,15
16,128,3,log,15
16,128,3,n,15
16,256,0,log,15
16,256,0,n,15
16,256,1,log,15
16,256,1,n,15
16,256,2,log,15
16,256,2,n,15
16,256,3,log,15
16,256,3,n,15
64,40,0,log,15
64,40,0,n,15
64,40,1,log,14
64,40,1,n,15
64,40,2,log,13
64,40,2,n,13
64,40,3,log,13
64,40,3,n,13
64,64,0,log,14
64,64,0,n,15
64,64,1,log,14
64,64,1,n,14
64,64,2,log,13
64,64,2,n,13
64,64,3,log,13
64,64,3,n,13
64,128,0,log,14
64,128,0,n,14
64,128,1,log,14
64,128,1,n,14
64,128,2,log,13
64,128,2,n,13
64,128,3,log,13
64,128,3,n,13
64,256,0,log,14
64,256,0,n,14
64,256,1,log,13
64,256,1,n,15
64,256,2,log,13
64,256,2,n,13
64,256,3,log,13
64,256,3,n,13
256,40,0,log,1
256,40,0,n,0
256,40,1,log,0
256,40,1,n,0
256,40,2,log,0
256,40,2,n,0
256,40,3,log,0
256,40,3,n,0
256,64,0,log,3
256,64,0,n,0
256,64,1,log,1
256,64,1,n,1
256,64,2,log,0
256,64,2,n,0
256,64,3,log,0
256,64,3,n,0
256,128,0,log,0
256,128,0,n,1
256,128,1,log,1
256,128,1,n,1
256,128,2,log,0
256,128,2,n,0
256,128,3,log,0
256,128,3,n,0
256,256,0,log,0
256,256,0,n,0
256,256,1,log,1
256,256,1,n,0
256,256,2,log,0
256,256,2,n,0
256,256,3,log,0
256,256,3,n,0
